Fechas,U.S.,Texas,California,Florida,,Región,Último dato,Cambio YoY,Cambio MoM
1/1/2020,82,75,68,79,,U.S.,57,4,-13
2/1/2020,73,65,46,73,,Texas,58,6,-12
3/1/2020,57,53,44,64,,California,45,2,0
4/1/2020,60,58,50,71,,Florida,71,6,-11
5/1/2020,68,64,57,81,,Miami-Dade County,80,9,-9
6/1/2020,62,58,49,88,,Broward County,73,6,-9
7/1/2020,53,53,46,75,,Palm Beach County,69,3,-7
8/1/2020,51,52,43,69,,Hillsborough County,62,7,-15
9/1/2020,50,54,42,67,,Orange County,64,7,-14
10/1/2020,51,54,42,64,,,,,
11/1/2020,54,56,47,64,,,,,
12/1/2020,62,60,57,66,,,,,
1/1/2021,66,61,57,70,,,,,
2/1/2021,56,51,38,62,,,,,
3/1/2021,45,48,34,51,,,,,
4/1/2021,37,39,33,46,,,,,
5/1/2021,35,36,32,42,,,,,
6/1/2021,33,35,31,40,,,,,
7/1/2021,35,33,31,40,,,,,
8/1/2021,37,36,33,42,,,,,
9/1/2021,41,41,36,44,,,,,
10/1/2021,43,45,37,45,,,,,
11/1/2021,46,48,42,47,,,,,
12/1/2021,53,51,48,55,,,,,
1/1/2022,59,58,45,53,,,,,
2/1/2022,41,40,29,38,,,,,
3/1/2022,34,36,27,34,,,,,
4/1/2022,30,31,27,33,,,,,
5/1/2022,30,29,27,31,,,,,
6/1/2022,31,29,30,33,,,,,
7/1/2022,34,32,33,36,,,,,
8/1/2022,41,39,40,44,,,,,
9/1/2022,47,47,47,51,,,,,
10/1/2022,50,51,48,58,,,,,
11/1/2022,55,55,52,61,,,,,
12/1/2022,65,65,64,64,,,,,
1/1/2023,72,71,69,69,,,,,
2/1/2023,65,65,53,64,,,,,
3/1/2023,52,52,46,54,,,,,
4/1/2023,46,47,43,55,,,,,
5/1/2023,43,45,37,55,,,,,
6/1/2023,44,45,38,56,,,,,
7/1/2023,45,45,39,58,,,,,
8/1/2023,46,49,41,57,,,,,
9/1/2023,48,51,43,56,,,,,
10/1/2023,50,54,43,55,,,,,
11/1/2023,52,58,47,56,,,,,
12/1/2023,61,65,57,62,,,,,
1/1/2024,69,71,60,69,,,,,
2/1/2024,61,61,43,65,,,,,
3/1/2024,50,50,40,58,,,,,
4/1/2024,47,48,37,62,,,,,
5/1/2024,45,48,35,63,,,,,
6/1/2024,48,51,40,66,,,,,
7/1/2024,51,55,44,71,,,,,
8/1/2024,53,58,46,73,,,,,
9/1/2024,56,60,47,74,,,,,
10/1/2024,58,62,50,76,,,,,
11/1/2024,61,65,54,78,,,,,
12/1/2024,70,72,65,79,,,,,
1/1/2025,73,74,66,76,,,,,
2/1/2025,66,66,46,73,,,,,
3/1/2025,53,52,43,65,,,,,
4/1/2025,50,50,43,69,,,,,
5/1/2025,51,51,44,73,,,,,
6/1/2025,53,56,48,80,,,,,
7/1/2025,58,60,52,86,,,,,
8/1/2025,60,64,56,87,,,,,
9/1/2025,62,67,58,88,,,,,
10/1/2025,63,69,58,85,,,,,
11/1/2025,64,71,59,81,,,,,
12/1/2025,73,76,69,83,,,,,
1/1/2026,78,79,69,86,,,,,
2/1/2026,70,70,45,82,,,,,
3/1/2026,57,58,45,71,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
